Firm,Link,Description,Phone,Address,State,Website,Practice Area
Amy A. Slayden Family Law PC,https://www.us-barassociation.org/firms/detail/16696f6ffe162d8f,"Amy A. Slayden Family Law P.C. is a family law and probate firm located in Huntsville that serves clients throughout Northern Alabama. Practice areas consist of divorce and legal separation, alimony, child custody and visitation, child custody, adoption, property division, marital agreements, and mediation as well as probate matters and estate planning.

With more than 30 combined years of experience, the attorneys provide professional representation and personalized legal counsel. They skillfully and knowledgeably develop innovative strategies and creative solutions tailored to clients’ goals and values. Offering comprehensive advice, the legal team outlines relevant laws and explains options so clients can make informed decisions.

Amy A. Slayden Family Law is dedicated to advocating for clients’ rights and working to achieve the best resolutions through settlement negotiations or in the courtroom.",Phone(s): (256) 288-1100,"2319 Market Place, Suite D
Huntsville, Alabama
35801", Alabama,https://www.amyslaydenlaw.com/,"Divorce, Estate Planning, Family Law, Litigation"
Bailey & Glasser LLP,https://www.us-barassociation.org/firms/detail/1f1f02cbc187e41b,"The attorneys of Bailey & Glasser, LLP are experienced trial attorneys who handle complex cases and appeals nationwide. Our lawyers, investigators, and staff are committed to finding the facts that could win your case. We use the most sophisticated information technology available today to manage and present our cases. Most of our work is referred to us by other lawyers.

We have a staff of 27 experienced and highly educated lawyers, licensed in 11 states, and located in offices in Morgantown, West Virginia; Washington, D.C.; and Springfield, IL, with our main office in Charleston, West Virginia.

As a firm, we feel passionately about ending sudden acceleration, because it can be avoided, thereby saving lives. We have experience in pursuing claims against some of the world's biggest companies, including auto manufacturers. Our network of crashworthiness and auto defects researchers and investigators puts us ahead of the curve.",Phone(s): (205) 988-9253,"3000 Riverchase Galleria, Suite 905
Birmingham, Alabama
35244", Alabama,N/A,"Litigation, Motor Vehicle Accidents, Personal Injury"
Balch & Bingham LLP,https://www.us-barassociation.org/firms/detail/d98ec432d7628781,"Founded in 1922, Balch & Bingham LLP is a diversified law firm with offices in Birmingham, Huntsville and Montgomery, Alabama, Washington, D.C., Gulfport and Jackson, Mississippi and Atlanta, Georgia. The firm's clients range from large national and multinational corporations to closely held companies, businesses and individuals. Industries served include: Public Utilities and Independent Power Producers; Banking and Financial Services; Insurance; Health Care; Issuers and Underwriters of Public Securities; Manufacturing; Retail; Real Estate; Construction; Computers and Advanced Technology; Educational Institutions.
Governmental entities, participants in municipal and public finance transactions, and numerous foundations and trusts also are represented by the firm's attorneys.

The firm's work is divided into major practice groups. In addition to these, the firm's attorneys practice in the area of government relations at the state and national levels, with offices in Alabama's capital and in Washington, D.C.",Phone(s): (205) 251-8100,"1710 6th Avenue North
Birmingham, Alabama
35203", Alabama,N/A,"Bankruptcy, Business Law, Employment, Estate Planning, Industry, Intellectual Property, Litigation, Personal Injury, Real Estate"
"Ball, Ball, Matthews & Novak, P.A.",https://www.us-barassociation.org/firms/detail/197ccf89ca1707cb,"One of the greatest strengths a business can have is wisdom. We’ve helped provide it since 1891.

Named in 2012 by US News & World Report as one of the best law firms in America, Ball, Ball, Matthews & Novak, P.A. stands ready to provide the legal representation you require and deserve. Our accumulated knowledge and experience are directed to providing the counsel your organization needs most.

As one of the oldest law firms in Alabama, we’ve represented individuals and businesses for more than 100 years, handling all facets of both litigated and non-litigated matters. The firm maintains a statewide practice in Alabama and a panhandle practice in Florida, defending lawsuits and handling matters involving a highly diverse set of practice areas.",Phone(s): (334) 387-7680,"445 Dexter Avenue, Suite 9045
Montgomery, Alabama
36104", Alabama,N/A,"Business Law, Employment, Estate Planning, Industry, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury, Real Estate"
"Belt & Bruner, P.C.",https://www.us-barassociation.org/firms/detail/92d49f16967cfc79,"Belt & Bruner, P.C. is a personal injury law firm based in Birmingham, Alabama and serves clients throughout the state.",Phone(s): (844) 239-3403,"880 Montclair Road, Suite 300
Birmingham, Alabama
35213", Alabama,https://www.alabamainjurylawyer.com/,"Employment, Industry, Litigation, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
"Black Belt Law Group, LLC",https://www.us-barassociation.org/firms/detail/11ffe9fc160eb738,"Mr. Stamps has dedicated himself and his firm to fight for the rights of the common man–rights and interests that are too often overlooked and trampled on in these days and times. With this thought in mind Attorney Stamps adopted as the motto of the Black Belt Law Group, LLC the phrase: “Fighting the Good Fight.”",Phone(s): (866) 585-2966,"1820 3rd Ave N, Suite 101
Bessemer, Alabama
35111", Alabama,N/A,"Business Law, Criminal Defense, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
Blackwell Law Firm,https://www.us-barassociation.org/firms/detail/ba44797d8aea02dc,"Blackwell Law Firm is a personal injury firm located in Huntsville, Alabama and serves clients throughout that state, including Madison, Colbert, Etowah, Jackson, Jefferson, Lauderdale, Lawrence, Limestone, Marshall, and Morgan Counties. Practice areas include car and truck accidents, product liability including dangerous drugs and defective medical devices, premises liability, industrial and construction accidents, workers’ compensation, traumatic injuries, and wrongful death. The firm also provides representation in trust litigation and sales commission claims.

Jeff Blackwell has more than 20 years of experience in personal injury that, along with his preparation and dedication, shows in each case as he pursues justice for every client. Attorney Blackwell has represented clients before the Alabama Supreme Court, the Alabama Court of Civil Appeals, and Alabama and Federal Courts.

The Blackwell Law Firm team realizes that an accident or injury can impact not only a client's health, but other areas of their life as well, such as work, finances, and family. The firm is prepared to litigate a case in court or work to negotiate an effective settlement, zealously advocating for clients' best interests and the most favorable outcomes.",Phone(s): (256) 261-1315,"120 Holmes Avenue Northeast, Suite 401
Huntsville, Alabama
35801", Alabama,https://www.blackwell-attorneys.com/,"Business Law, Employment, Medical Malpractice, Motor Vehicle Accidents, Personal Injury"
Bradford Ladner LLP,https://www.us-barassociation.org/firms/detail/8eb2c809a5ae5eee,"Bradford Ladner LLP is a full service law firm in Birmingham, Alabama providing civil and criminal trial and appellate representation throughout Alabama in state and federal court. Based in Birmingham Alabama, we handle civil litigation such as business tort claims, business litigation, contract claims and lawsuits, defense of civil lawsuits, and insurance coverage and disputes. We also handle the full array of criminal cases including DUI, Felonies, Misdemeanors, drug crimes, gun crimes, drug trafficking, immigration violations, domestic violence, criminal trials and criminal appeals. We handle all manner of divorce and family law matters, including divorces, child custody matters, child support, and modifications. We service our clients statewide and handle matters in both State District and Circuit Courts and the Federal District courts of Alabama.",Phone(s): (205) 802-8823 or (855) 587-6350,"3928 Montclair Road, Suite 208
Birmingham, Alabama
35213", Alabama,N/A,"Business Law, Commercial Law, Criminal Defense, Divorce, Employment, Family Law, Government, Litigation, Personal Injury, Real Estate"
Bradley Arant Boult Cummings LLP,https://www.us-barassociation.org/firms/detail/c1e87fb7c0de863b,"Bradley Arant Boult Cummings LLP is a full service law firm offering a wide variety of client services, covering more than 30 different areas of legal counsel. . The firm has more than 370 attorneys serving individuals, emerging businesses, and established regional, national and international companies. Clients rely on us for innovative legal services that reflect a deep understanding of their business realities.

We are one of the largest firms in the Southeast, with offices strategically located in Alabama, Mississippi, North Carolina, Tennessee and the District of Columbia. These offices provide an extensive geographic base from which to serve clients on a regional basis, as well as clients located elsewhere in the country and the world. We frequently serve as national coordinating counsel, regional counsel, and statewide counsel for clients in various industries. Our lawyers work for major construction companies in Europe and Asia, for multinational pharmaceutical companies in New York and California, for major insurance and financial clients in Texas, Indiana, and Alabama and for national tire manufacturers in Tennessee and Georgia.",Phone(s): (256) 517-5100,"200 Clinton Ave West Suite 900
Huntsville, Alabama
35801", Alabama,N/A,"Bankruptcy, Business Law, Commercial Law, Criminal Defense, Employment, Industry, Intellectual Property, Litigation, Personal Injury, Real Estate"
Bradley Arant Boult Cummings LLP,https://www.us-barassociation.org/firms/detail/09fbbb4c01e6af3b,"Bradley Arant Boult Cummings LLP is a full service law firm offering a wide variety of client services, covering more than 30 different areas of legal counsel. The firm has more than 370 attorneys serving individuals, emerging businesses, and established regional, national and international companies. Clients rely on us for innovative legal services that reflect a deep understanding of their business realities.

We are one of the largest firms in the Southeast, with offices strategically located in Alabama, Mississippi, North Carolina, Tennessee and the District of Columbia. These offices provide an extensive geographic base from which to serve clients on a regional basis, as well as clients located elsewhere in the country and the world. We frequently serve as national coordinating counsel, regional counsel, and statewide counsel for clients in various industries. Our lawyers work for major construction companies in Europe and Asia, for multinational pharmaceutical companies in New York and California, for major insurance and financial clients in Texas, Indiana, and Alabama and for national tire manufacturers in Tennessee and Georgia.",Phone(s): (205) 521-8000,"One Federal Place, 1819 Fifth Avenue North
Birmingham, Alabama
35203", Alabama,N/A,"Bankruptcy, Business Law, Commercial Law, Criminal Defense, Employment, Industry, Intellectual Property, Litigation, Personal Injury, Real Estate"
